"package","version","hash","analysis"
readium-css,10.5.1,be9cc3e7880900ae677e6c56efe2315d,malicious
express-request-ip,3.4.0,6d7015e0ef328e59d50a89c6ddf9258f,malicious
node-request-ip,3.4.3,b0e0737eac4713bef255f6b439496783,malicious
arangodb,1.0.8,1b49977919ffa551d59556496ce98639,malicious
arangodb,1.1.3,cb35acdaca6984308a11870d9ce8fef5,malicious
arangodb,1.0.3,f5b73d23874802393f0902b716962ad3,malicious
node-prom-reporter,6.5.8,ff3e8cf3276029ea0a7e4dc2a8db736f,malicious
web_enhance_sap-latest,6.5.9,9c245a695eed9f5e97b69fd9212c0540,malicious
docs-ux,99.11.18,261b4553e297f405ee9c40a7394e2fa2,malicious
@mnlo@common-user,0.0.1,4355ca184fff860c4e2ac174778e1905,malicious
cdp-agentkit-monorepo,1.0.0,dba82663e5f5f72ede1491e067a8bd36,malicious
cdc-chatbot,99.99.99,49124bb26fb827ae296aff7884fc93d8,malicious
cargo-hub-ui-api-internal,420.6.10,ef4c6fd5e6e167e720e66871f667cd9e,malicious
rich-text-slate-rc,6.5.8,9f061d519984c62e5afea99630c0f2f5,malicious
kiosk-cli,0.0.1,498a3c078a7c5e628aaba5a04aaf1cac,malicious
seller-webchat-utils,6.5.8,6a959336ffb7cc68c5e9bc553b8649e9,malicious
@add-wallet-exchange@set-imported-csv-message,1.0.0,9cb69f26a475f883d7715324011b9790,malicious
solitdy,0.0.1,1aa89ef86c7add97f6ab8c2a8e01e1b1,malicious
eslint-plugin-wms,6.5.8,a65a7e4d289e81c61c23ff096feeee57,malicious
modlog-archive,1.0.6,a2fbda8b1125a0b435b8b68bf5d094b0,malicious
modlog-archive,1.0.5,4e83e5c7bb452816c55f074f94d6da41,malicious
modlog-archive,1.0.2,fa6a317f0c143c8efb65cb6ed4457373,malicious
modlog-archive,1.0.3,1fb2da6ff48e6a506d0eef9da65e4213,malicious
evocataur,99.3.5,fc992921554d37d90a90dee2237e92cc,malicious
jira-rest-typescript,6.5.8,8ca3ec2f7b3f849d727f6578ea6216cb,malicious
puppeteerrecordr,1.0.7,fa6f7ce284b79bdfe5625ec0e65d4544,malicious
check-dependency-ver-consistency,99.11.18,6f32f928f66e30cce7c86eccae677d15,malicious
vs-table-plugins-antd,9.2.10,eeaf64cb70e4074bfc98791ce3d0905a,malicious
playwright-1.45,10.1.3,e1f231b9cae3cb0de2542a46c3174d5c,malicious
@volcenjine@openapi,89.3.5,764b35a676569abaf7006abf42fbb496,malicious
rtn-centered-text,6.5.8,f0d44164234a4c87f2793d35b6810126,malicious
@mosfe@beam-lint-config,1.0.5,3a1319d55d7ba9b17249aef39ea0ee4e,malicious
eslint-plugin-mark-i18n,6.5.8,6b0758044af0ad86747c3559b11d80bf,malicious
wynn-and-encore,100.0.5,298e1a7f4028f47fff0472892d7602e2,malicious
dapp-test-runner,7.2.5,5d43bc97f6a7db511658a4048d450e5a,malicious
vue2-tiktok,89.3.5,57351be02e3548f3794737f34bd6c551,malicious
@msidentity@authx,1.0.1,415c399eb2510cd411b15ba5388b1ec2,malicious
@msidentity@authx,1.0.0,d0769bd3d9ce55639fc465179593b43a,malicious
scfe-joint-test-tool,6.5.8,dbecc9ca7d8f87c5136927ff537c7747,malicious
seller-core,6.5.8,efca82f5aac190383b2a148f6c9bcb23,malicious
config-sdk-nodejs,7.2.3,c174b0c238890af32468c4e122cf1ba6,malicious
lightweight-store,6.5.8,c24a64f74199b72500666edef42f9f7a,malicious
eb-docs,3.0.0,ed3f40035d292c4a994bb4f51b559fc5,malicious
eb-docs,2.0.0,969367a789fd773a9bcd2c9140a4ff99,malicious
commitlint-plugin-marketing-rules,7.2.3,65459f909da9ffb649a35fd706c3efb3,malicious
sap-cd,0.0.0,38b60cfd3408ded84edd899b30ba709a,malicious
azure-sdk-for-java-codegen,7.3.6,3a3aeec5ba74f04a168d461c072ae4a0,malicious
azure-sdk-for-java-codegen,10.5.7,e6932546f7ef0764920c010cb40f834f,malicious
ssc-ui-vue,7.3.10,1aa05798559fb838f498ff375c078085,malicious
evocateur_libnpmpublic,99.3.5,ef1410ee90ad9cc8d6d8e882694ec4ba,malicious
@douinfe@semi-animation-styled,9.3.5,13105ca653045483eef3661a4b00c76a,malicious
bce-service-bos-transport,9.9.4,b8e46071540a1c29449887990fab62d1,malicious
auto-plugin-appetize-cleanup,1.3.0,6cb596540c8ebadfbe77b266c112591c,malicious
auto-plugin-appetize-cleanup,1.2.0,5686c0a3584d344e68793bd398308dfe,malicious
listing-reporter,6.5.8,f7209d8fa5d98677ed28d43e5dcbca9b,malicious
randompackage-notreal,1.0.2,d7de96dbcf885285e47a6f198befc15b,malicious
oj-odcs-category-selector,3.0.2,96bf5e1ed83b6d3fe600ecc41a76b1e3,malicious
linear-airbyte-source,9.9.10,21bb5968dc53b043417e2f52cd405769,malicious
reqstus,1.2.5,6e03d4cf7fe6637b353554911f3453f2,malicious
eds-charts-react,5.4.3,c1d7a5737c370da2a71e5c67257b873b,malicious
seller-address-common,6.5.8,f026c7b1949f9d76bba941317450653b,malicious
apa-components,6.1.3,0eeddeb8e66e1036f3e31d5ac021a08e,malicious
lido-on-ethereum,2.0.0,1e6463244de7f1f1c5f67d34274c2aa5,malicious
bytedance-i18n-hooks,99.11.18,db2095866261b0a5aecd7b3d190ecee9,malicious
@infinid-indonesia@ui-kit,10.0.0,499c19f8c6327a852febbed2f678c828,malicious
req-scopes,3.4.3,d0a3bbedd21fa049d6bf1bfcbae4fc0b,malicious
vite-plugin-unus-api-register,6.2.3,cfb35575b7864c8086fc9e1a1da09525,malicious
string-utils-assistant,1.0.0,9e344b7aef7228325c29db20ac0a4cfc,malicious
web-live-sdk,400.10.1,a731df271dfe743b2aeb1f91ece7f6f1,malicious
local-node-rig,99.9.9,9031ed15e6b9cb1743db2b14edd31442,malicious
uatu-lib,7.5.4,a873996b7c5d4ed5e1111b4ab676afdd,malicious
http-long-poll-client,6.5.8,1c27057bdc7558cc9ec9a28bf4634e20,malicious
cdntodister,20.0.0,f22f1d422531c01b3e88589c205b19ab,malicious
eds-vue,5.4.3,2693c72f95b78296e39d2194b37166ec,malicious
string-process-mate,1.0.0,4cd0afcd32c3965f4647711c4d5f3f86,malicious
ml-translate-vis,991.9.9,5c2e2fd519abcc80b07202a5b6ec3daa,malicious
item-card-config,6.5.8,f178a7d21f203556991ff90125d0242a,malicious
@ba-ui-toolkit@ba-graphics,7.1.9,eee327bd3d65fd50e6de5c8eac2151a1,malicious
@ba-ui-toolkit@ba-graphics,7.1.15,2f5d90774da1ce77f5ba0d4eb3775f0d,malicious
@ba-ui-toolkit@ba-graphics,7.1.12,d9eaea7e1fa020758c592dad5684f09c,malicious
@ba-ui-toolkit@ba-graphics,7.1.11,acd411da435f81bb8b3ba20412d30674,malicious
@ba-ui-toolkit@ba-graphics,7.1.14,765d2196a3530befe5af8e0628129964,malicious
@ba-ui-toolkit@ba-graphics,7.1.2,262fd7c5bc4e53ac607041a8166da240,malicious
commitlint-config-jira-type-infra,5.3.5,645a231b78241138469eda1c8b2a151a,malicious
web3ibaan,4.0.7,ce7b0f505f565d760eea0436e3cae281,malicious
byted-guide,99.3.5,9159bd98485bbfc1c6a3dd9183527591,malicious
sap-bucket,0.0.0,f04962ee646ed4ce702603490f0afd5a,malicious
galileo_staking,0.0.1,9c6459575c385dc59b8897f3034d181d,malicious
eslint-config-finance-rn,5.4.3,724e5768c031055334e89566683f70d8,malicious
spid-sharing-panel,9.2.1,57eba1df4af029abc4856f4465577cd1,malicious
@dp-bpsc-tiktok@ranking,1.0.0,23c6c56910c799ba0d7199bc1e881dc2,malicious
confidential-package-nam,99.9.9,a23e714391848f8557fb144804b7dc15,malicious
eslint-config-extraterm,9.1.7,09c989eb52c5fe0e5e6c76d021b6c672,malicious
mona-service,99.11.18,7bfc8d1a61a9da8c04d8edbb48ed5954,malicious
web-eth-abi,4.3.0,0b08cce8c2c8a114d089ed890ca1597c,malicious
pupeteer-capture,1.1.1,eba598046b4a4f6a7c45bbe88f069c9c,malicious
dialog-holder,1.0.4,53155c1a1e53e4ef80041d31ad9ac854,malicious
dialog-holder,1.0.2,1caf3a5a6362f082262b4e15c1669ade,malicious
dialog-holder,1.0.1,93e4cb3c2fe6c13a60c0b279f6189ce9,malicious
